false_positive_rate,true_positive_rate,threshold
0.0,0.0,inf
0.002881844380403458,0.043043043043043044,1.0
0.002881844380403458,0.055055055055055056,0.9999999
0.002881844380403458,0.06406406406406406,0.99999976
0.002881844380403458,0.07407407407407407,0.99999964
0.002881844380403458,0.07907907907907907,0.9999995
0.002881844380403458,0.08708708708708708,0.9999994
0.002881844380403458,0.08808808808808809,0.9999993
0.002881844380403458,0.0920920920920921,0.99999917
0.002881844380403458,0.0990990990990991,0.99999905
0.002881844380403458,0.10510510510510511,0.9999987
0.002881844380403458,0.1061061061061061,0.99999857
0.002881844380403458,0.11011011011011011,0.99999833
0.002881844380403458,0.11411411411411411,0.999998
0.002881844380403458,0.11711711711711711,0.99999785
0.002881844380403458,0.11811811811811812,0.99999774
0.002881844380403458,0.12212212212212212,0.9999974
0.002881844380403458,0.12312312312312312,0.99999726
0.002881844380403458,0.12612612612612611,0.99999714
0.002881844380403458,0.12812812812812813,0.999997
0.002881844380403458,0.13113113113113112,0.9999969
0.002881844380403458,0.13313313313313313,0.99999654
0.002881844380403458,0.13513513513513514,0.9999963
0.002881844380403458,0.13613613613613615,0.99999595
0.002881844380403458,0.14014014014014015,0.99999523
0.002881844380403458,0.14114114114114115,0.9999951
0.002881844380403458,0.14314314314314314,0.99999475
0.002881844380403458,0.14414414414414414,0.99999464
0.002881844380403458,0.15015015015015015,0.99999404
0.002881844380403458,0.15715715715715717,0.9999926
0.002881844380403458,0.15915915915915915,0.9999925
0.002881844380403458,0.16216216216216217,0.9999919
0.002881844380403458,0.16616616616616617,0.9999912
0.002881844380403458,0.17017017017017017,0.9999894
0.002881844380403458,0.17217217217217218,0.9999889
0.002881844380403458,0.17417417417417416,0.9999877
0.002881844380403458,0.17617617617617617,0.99998724
0.002881844380403458,0.18218218218218218,0.99998355
0.002881844380403458,0.1841841841841842,0.9999833
0.002881844380403458,0.1881881881881882,0.9999814
0.002881844380403458,0.19019019019019018,0.99998057
0.002881844380403458,0.1921921921921922,0.9999802
0.002881844380403458,0.1961961961961962,0.99997747
0.002881844380403458,0.23423423423423423,0.99993896
0.002881844380403458,0.23623623623623624,0.99993706
0.002881844380403458,0.23923923923923923,0.99993503
0.002881844380403458,0.24524524524524524,0.9999199
0.002881844380403458,0.24724724724724725,0.9999198
0.002881844380403458,0.35435435435435436,0.9988084
0.005763688760806916,0.35435435435435436,0.9987931
0.005763688760806916,0.38738738738738737,0.9976025
0.005763688760806916,0.3893893893893894,0.9975441
0.005763688760806916,0.4294294294294294,0.99501157
0.008645533141210375,0.4294294294294294,0.99495465
0.008645533141210375,0.45145145145145144,0.99256307
0.011527377521613832,0.45145145145145144,0.9923685
0.011527377521613832,0.5405405405405406,0.9508332
0.01440922190201729,0.5405405405405406,0.94448173
0.01440922190201729,0.5505505505505506,0.9358668
0.01729106628242075,0.5505505505505506,0.9356591
0.01729106628242075,0.5575575575575575,0.93079746
0.020172910662824207,0.5575575575575575,0.92968994
0.020172910662824207,0.5675675675675675,0.9235171
