threshold,accuracy,precision,sensitivity,specificity,f1_score,tn,fp,fn,tp
0.2,0.8677563150074294,0.9125628140703518,0.908908908908909,0.7492795389048992,0.9107321965897693,260,87,91,908
0.21,0.8684992570579495,0.9134808853118712,0.908908908908909,0.7521613832853026,0.9111891620672353,261,86,91,908
0.22,0.8684992570579495,0.9134808853118712,0.908908908908909,0.7521613832853026,0.9111891620672353,261,86,91,908
0.23,0.8692421991084696,0.916076845298281,0.9069069069069069,0.760806916426513,0.9114688128772636,264,83,93,906
0.24,0.8655274888558693,0.9164969450101833,0.9009009009009009,0.7636887608069164,0.9086320040383644,265,82,99,900
0.25,0.8647845468053492,0.9181166837256909,0.8978978978978979,0.7694524495677233,0.9078947368421053,267,80,102,897
0.26,0.8655274888558693,0.9190573770491803,0.8978978978978979,0.7723342939481268,0.9083544303797468,268,79,102,897
0.27,0.8647845468053492,0.9198355601233299,0.8958958958958959,0.7752161383285303,0.907707910750507,269,78,104,895
0.28,0.8640416047548292,0.9197530864197531,0.8948948948948949,0.7752161383285303,0.9071537290715372,269,78,105,894
0.29,0.8640416047548292,0.9206185567010309,0.8938938938938938,0.7780979827089337,0.9070594210259014,270,77,106,893
0.3,0.8632986627043091,0.9205366357069144,0.8928928928928929,0.7780979827089337,0.9065040650406504,270,77,107,892
0.31,0.861812778603269,0.9203722854188211,0.8908908908908909,0.7780979827089337,0.9053916581892166,270,77,109,890
0.32,0.862555720653789,0.9213250517598344,0.8908908908908909,0.7809798270893372,0.905852417302799,271,76,109,890
0.33,0.861812778603269,0.9221183800623053,0.8888888888888888,0.7838616714697406,0.9051987767584098,272,75,111,888
0.34,0.8632986627043091,0.9240374609781478,0.8888888888888888,0.7896253602305475,0.9061224489795918,274,73,111,888
0.35000000000000003,0.8610698365527489,0.9237995824634656,0.8858858858858859,0.7896253602305475,0.9044455799693408,274,73,114,885
0.36,0.8595839524517088,0.9254201680672269,0.8818818818818819,0.7953890489913544,0.9031266017426961,276,71,118,881
0.37,0.8610698365527489,0.9291754756871036,0.8798798798798799,0.8069164265129684,0.9038560411311054,280,67,120,879
0.38,0.8595839524517088,0.9290254237288136,0.8778778778778779,0.8069164265129684,0.9027277406073083,280,67,122,877
0.39,0.8580980683506686,0.9288747346072187,0.8758758758758759,0.8069164265129684,0.9015971148892323,280,67,124,875
0.4,0.8573551263001485,0.9297124600638977,0.8738738738738738,0.8097982708933718,0.9009287925696594,281,66,126,873
0.41000000000000003,0.8558692421991084,0.93048128342246,0.8708708708708709,0.8126801152737753,0.8996897621509824,282,65,129,870
0.42,0.8551263001485884,0.930406852248394,0.8698698698698699,0.8126801152737753,0.8991205380237972,282,65,130,869
0.43,0.8521545319465081,0.9301075268817204,0.8658658658658659,0.8126801152737753,0.8968377397615345,282,65,134,865
0.44,0.8521545319465081,0.9301075268817204,0.8658658658658659,0.8126801152737753,0.8968377397615345,282,65,134,865
0.45,0.8521545319465081,0.9301075268817204,0.8658658658658659,0.8126801152737753,0.8968377397615345,282,65,134,865
0.46,0.8491827637444279,0.9298056155507559,0.8618618618618619,0.8126801152737753,0.8945454545454545,282,65,138,861
0.47000000000000003,0.8484398216939079,0.9306608884073673,0.8598598598598599,0.8155619596541787,0.8938605619146722,283,64,140,859
0.48,0.8491827637444279,0.9335511982570807,0.8578578578578578,0.8242074927953891,0.8941053729786124,286,61,142,857
0.49,0.8476968796433878,0.9362637362637363,0.8528528528528528,0.8328530259365994,0.892613933996857,289,58,147,852
0.5,0.8462109955423477,0.9370860927152318,0.8498498498498499,0.8357348703170029,0.8913385826771654,290,57,150,849
0.51,0.8454680534918276,0.9370165745856354,0.8488488488488488,0.8357348703170029,0.8907563025210085,290,57,151,848
0.52,0.8447251114413076,0.9369469026548672,0.8478478478478478,0.8357348703170029,0.8901734104046243,290,57,152,847
0.53,0.8447251114413076,0.9379157427937915,0.8468468468468469,0.8386167146974063,0.8900578642819569,291,56,153,846
0.54,0.8424962852897474,0.9377085650723026,0.8438438438438438,0.8386167146974063,0.8883034773445733,291,56,156,843
0.55,0.8424962852897474,0.9377085650723026,0.8438438438438438,0.8386167146974063,0.8883034773445733,291,56,156,843
0.56,0.8424962852897474,0.9386845039018952,0.8428428428428428,0.8414985590778098,0.8881856540084389,292,55,157,842
0.5700000000000001,0.8395245170876672,0.9384098544232923,0.8388388388388388,0.8414985590778098,0.8858350951374208,292,55,161,838
0.58,0.836552748885587,0.9381327334083239,0.8348348348348348,0.8414985590778098,0.8834745762711864,292,55,165,834
0.59,0.8335809806835067,0.9378531073446328,0.8308308308308309,0.8414985590778098,0.881104033970276,292,55,169,830
0.6,0.8320950965824666,0.9377123442808607,0.8288288288288288,0.8414985590778098,0.8799149840595112,292,55,171,828
0.61,0.8306092124814265,0.9385665529010239,0.8258258258258259,0.8443804034582133,0.8785942492012779,293,54,174,825
0.62,0.8283803863298663,0.9393592677345538,0.8218218218218218,0.8472622478386167,0.8766684463427656,294,53,178,821
0.63,0.8283803863298663,0.9403669724770642,0.8208208208208209,0.8501440922190202,0.8765366114377339,295,52,179,820
0.64,0.8268945022288261,0.9412442396313364,0.8178178178178178,0.8530259365994236,0.8752008569898232,296,51,182,817
0.65,0.825408618127786,0.9441860465116279,0.8128128128128128,0.861671469740634,0.8735879505110274,299,48,187,812
0.66,0.8216939078751857,0.9438596491228071,0.8078078078078078,0.861671469740634,0.8705501618122977,299,48,192,807
0.67,0.8187221396731055,0.944640753828033,0.8028028028028028,0.8645533141210374,0.8679653679653679,300,47,197,802
0.68,0.8172362555720654,0.9445100354191264,0.8008008008008008,0.8645533141210374,0.866738894907909,300,47,199,800
0.6900000000000001,0.8179791976225854,0.9466824644549763,0.7997997997997998,0.8703170028818443,0.8670645686380901,302,45,200,799
0.7000000000000001,0.8164933135215453,0.9465558194774347,0.7977977977977978,0.8703170028818443,0.8658337859858772,302,45,202,797
0.71,0.8164933135215453,0.9476190476190476,0.7967967967967968,0.8731988472622478,0.8656878738444806,303,44,203,796
0.72,0.8142644873699851,0.9474313022700119,0.7937937937937938,0.8731988472622478,0.8638344226579521,303,44,206,793
0.73,0.8098068350668648,0.9470517448856799,0.7877877877877878,0.8731988472622478,0.8601092896174863,303,44,212,787
0.74,0.8060921248142645,0.9467312348668281,0.7827827827827828,0.8731988472622478,0.856986301369863,303,44,217,782
0.75,0.8016344725111442,0.9463414634146341,0.7767767767767768,0.8731988472622478,0.8532160527762507,303,44,223,776
0.76,0.799405646359584,0.9461444308445532,0.7737737737737738,0.8731988472622478,0.8513215859030837,303,44,226,773
0.77,0.7979197622585439,0.9482120838471023,0.7697697697697697,0.8789625360230547,0.8497237569060774,305,42,230,769
0.78,0.7956909361069836,0.9491315136476427,0.7657657657657657,0.8818443804034583,0.8476454293628809,306,41,234,765
0.79,0.7934621099554234,0.9500624219725343,0.7617617617617618,0.8847262247838616,0.8455555555555555,307,40,238,761
0.8,0.7927191679049034,0.95,0.7607607607607607,0.8847262247838616,0.8449138410227904,307,40,239,760
0.81,0.787518573551263,0.9506953223767383,0.7527527527527528,0.8876080691642652,0.8402234636871508,308,39,247,752
0.8200000000000001,0.7830609212481426,0.9537869062901155,0.7437437437437437,0.8962536023054755,0.8357705286839145,311,36,256,743
0.8300000000000001,0.7793462109955424,0.9534883720930233,0.7387387387387387,0.8962536023054755,0.8324873096446701,311,36,261,738
