Model,Threshold,Accuracy,Precision,Sensitivity,Specificity,F1-score,TN,FP,FN,TP,ROC-AUC
EfficientNet-B0 Optimized Threshold,0.01,0.8112927191679049,0.8983957219251337,0.8408408408408409,0.7262247838616714,0.8686659772492245,252.0,95.0,159.0,840.0,0.8910668593665712
EfficientNet-B0 Default Threshold,0.5,0.7206537890044576,0.967016491754123,0.6456456456456456,0.9365994236311239,0.7743097238895558,325.0,22.0,354.0,645.0,0.8910668593665712
