Model,Threshold,Accuracy,Precision,Sensitivity,Specificity,F1-score,ROC-AUC
ResNet-18,0.5,0.7592867756315007,0.9680998613037448,0.6986986986986987,0.9337175792507204,0.8116279069767441,0.9072602862228222
ResNet-18,0.1,0.8172362555720654,0.936268829663963,0.8088088088088088,0.8414985590778098,0.8678839957035446,0.9072602862228222
DenseNet-121,0.5,0.8462109955423477,0.9370860927152318,0.8498498498498499,0.8357348703170029,0.8913385826771654,0.9209209209209209
DenseNet-121,0.07,0.8789004457652303,0.8958333333333334,0.9469469469469469,0.6829971181556196,0.9206812652068127,0.9209209209209209
