threshold,accuracy,precision,sensitivity,specificity,f1_score,tn,fp,fn,tp
0.87,0.6329866270430906,0.9791271347248577,0.5165165165165165,0.968299711815562,0.6762778505897772,336,11,483,516
0.88,0.6277860326894502,0.9806949806949807,0.5085085085085085,0.9711815561959655,0.6697429136453527,337,10,491,508
0.89,0.6225854383358098,0.9823182711198428,0.5005005005005005,0.9740634005763689,0.6631299734748011,338,9,499,500
0.9,0.6151560178306092,0.9878296146044625,0.4874874874874875,0.9827089337175793,0.6528150134048257,341,6,512,487
0.91,0.6144130757800892,0.9897959183673469,0.4854854854854855,0.9855907780979827,0.6514439220953661,342,5,514,485
0.92,0.6054977711738484,0.9895397489539749,0.47347347347347346,0.9855907780979827,0.6404874746106973,342,5,526,473
0.93,0.5943536404160475,0.9892008639308856,0.45845845845845845,0.9855907780979827,0.6265389876880985,342,5,541,458
0.9400000000000001,0.5839524517087668,0.9910514541387024,0.44344344344344344,0.9884726224783862,0.6127247579529738,343,4,556,443
0.9500000000000001,0.5705794947994056,0.9906759906759907,0.42542542542542544,0.9884726224783862,0.5952380952380952,343,4,574,425
0.96,0.5564635958395245,0.9902439024390244,0.4064064064064064,0.9884726224783862,0.5762952448545068,343,4,593,406
0.97,0.5445765230312035,0.9974226804123711,0.38738738738738737,0.9971181556195965,0.5580389329488104,346,1,612,387
0.98,0.5178306092124815,1.0,0.35035035035035034,1.0,0.5189028910303929,347,0,649,350
0.99,0.46953937592867756,1.0,0.2852852852852853,1.0,0.4439252336448598,347,0,714,285
