epoch,train_loss,train_accuracy,train_precision,train_recall,train_specificity,train_f1,train_roc_auc,val_loss,val_accuracy,val_precision,val_recall,val_specificity,val_f1,val_roc_auc,learning_rate
1,0.2072697679237945,0.9162265525405209,0.9534292972057579,0.9196841818676831,0.9092409240924092,0.9362527716186253,0.9753590932194226,0.5739144668705872,0.8143656716417911,0.913946587537092,0.8137384412153237,0.8158730158730159,0.8609364081062194,0.8813990061017802,0.0001
2,0.08717925382526688,0.9674012019668549,0.9836655592469546,0.9673291587258371,0.9675467546754676,0.9754289636238846,0.9951767978322471,0.5054803440547566,0.8507462686567164,0.9163179916317992,0.8678996036988111,0.8095238095238095,0.8914518317503393,0.9145415277515674,0.0001
3,0.06396035086943616,0.9796029867055182,0.9898211829436039,0.9795807242036483,0.9796479647964796,0.9846743295019157,0.9968891117263102,0.6244893069170526,0.8330223880597015,0.9176300578034682,0.8388375165125496,0.819047619047619,0.8764665286404417,0.9010924493090938,0.0001
4,0.05761532467574375,0.9806956838462939,0.9893004115226337,0.9817587802885924,0.9785478547854786,0.98551516807871,0.9976185748169154,0.6439064893716905,0.8199626865671642,0.9246987951807228,0.8110964332892999,0.8412698412698413,0.8641801548205489,0.9057432219915708,0.0001
5,0.05025908644232262,0.9823347295574577,0.9909390444810544,0.9825755513204465,0.9818481848184818,0.9867395762132605,0.9983691535502583,0.5914251712626958,0.8572761194029851,0.9229691876750701,0.8705416116248349,0.8253968253968254,0.8959891230455472,0.9143905558700802,0.0001
6,0.04369359440598491,0.9847022400291386,0.9936726272352132,0.9833923223523006,0.9873487348734874,0.9885057471264368,0.9986262851713975,0.5100238206240335,0.8992537313432836,0.9154929577464789,0.9445178335535006,0.7904761904761904,0.929778933680104,0.9258623220314105,0.0001
7,0.020451654022414677,0.9941722819158623,0.9964548677392965,0.9948271167982575,0.9928492849284929,0.9956403269754769,0.9997687762242056,0.7040169203355074,0.8498134328358209,0.9220963172804533,0.8599735799207398,0.8253968253968254,0.8899521531100478,0.8990857813843283,0.0001
8,0.019335941719691815,0.9936259333454744,0.9967231021299836,0.9937380887557855,0.9933993399339934,0.9952283571915473,0.999774916233796,0.6402248470859825,0.8703358208955224,0.9186991869918699,0.8956406869220608,0.8095238095238095,0.9070234113712374,0.9056383804072046,0.0001
9,0.024648816116660307,0.9925332362046986,0.9959038776624796,0.9929213177239314,0.9917491749174917,0.9944103612815269,0.9994562347604212,0.5802239495235731,0.8591417910447762,0.915068493150685,0.8824306472919419,0.8031746031746032,0.898453261600538,0.9142395839885933,5e-05
10,0.011111987489943045,0.9970861409579311,0.9989085948158254,0.9967329158725837,0.9977997799779978,0.9978195693649495,0.9999489330909678,0.6013324859764065,0.8656716417910447,0.921595598349381,0.8850726552179656,0.819047619047619,0.9029649595687331,0.9235390325218595,5e-05
11,0.007149892962622341,0.9978146057184484,0.9989097846824748,0.9978219439150559,0.9977997799779978,0.9983655679651321,0.9999862224175045,0.6303450608699419,0.8628731343283582,0.9201101928374655,0.8824306472919419,0.8158730158730159,0.9008766014834795,0.9245622863852718,5e-05
12,0.0066337735914379125,0.998178838098707,0.9989103786434214,0.9983664579362919,0.9977997799779978,0.9986383442265795,0.999983227290875,0.5771486546250004,0.8805970149253731,0.9176626826029216,0.9128137384412153,0.8031746031746032,0.9152317880794701,0.915684301021157,2.5e-05
13,0.006791221952369256,0.9985430704789656,0.9991827839825661,0.9986387149469099,0.9983498349834984,0.9989106753812637,0.9999531262682488,0.5627425629502238,0.8768656716417911,0.9183400267737617,0.9062087186261559,0.8063492063492064,0.9122340425531915,0.92487681113837,2.5e-05
14,0.0027355784998818766,0.9996357676197414,1.0,0.999455485978764,1.0,0.9997276688453159,0.9999986521930168,0.5871288546892283,0.8638059701492538,0.9179206566347469,0.8863936591809776,0.8095238095238095,0.9018817204301075,0.9228764337086662,2.5e-05
15,0.0030046686270039143,0.9994536514296121,0.9994556341861731,0.9997277429893819,0.9988998899889989,0.9995916700694161,0.9999982029240223,0.6314676934138632,0.8628731343283582,0.9212707182320442,0.8811096433289299,0.819047619047619,0.900742741390952,0.9201610366735862,1.25e-05
