epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_precision,val_precision,train_recall,val_recall,train_specificity,val_specificity,train_f1,val_f1,train_auc,val_auc,learning_rate
1,0.2211814087323208,0.5033278507788652,0.9069386268439265,0.8600746268656716,0.9496587030716723,0.9232914923291492,0.9090661584535802,0.8745046235138706,0.9026402640264026,0.8253968253968254,0.928919182083739,0.898236092265943,0.9703217394976634,0.9021408651527543,0.0001
2,0.11786009659480146,0.7845575319617855,0.9561099981788381,0.7826492537313433,0.977728285077951,0.9132492113564669,0.9561666212904982,0.7648612945838837,0.9559955995599559,0.8253968253968254,0.9668272539573297,0.8324946081955428,0.9911107636764221,0.8812019039231722,0.0001
3,0.07176379731223137,0.6872193463695749,0.9743216171917684,0.8339552238805971,0.989196675900277,0.918958031837916,0.9722297849169617,0.8388375165125496,0.9785478547854786,0.8222222222222222,0.9806398462172182,0.8770718232044199,0.99660951665545,0.8903398964165148,0.0001
4,0.05785400144575376,0.8855538174117481,0.9794208705153888,0.7583955223880597,0.9906284454244763,0.915,0.9784916961611761,0.7252311756935271,0.9812981298129813,0.8380952380952381,0.9845226681276538,0.8091378039793663,0.997612734319988,0.9094588077415026,5e-05
5,0.04460895928058809,0.6228725644757662,0.9832453105081042,0.8591417910447762,0.9920307776861775,0.9196675900277008,0.9828478083310646,0.8771466314398944,0.9840484048404841,0.8158730158730159,0.987417943107221,0.8979039891818796,0.9986114592945818,0.917443542806819,5e-05
6,0.02384983901083035,0.7085033090737743,0.9919868876343106,0.8404850746268657,0.9969871268145714,0.9197707736389685,0.9910155186496052,0.8480845442536328,0.993949394939494,0.8222222222222222,0.99399235390497,0.8824742268041237,0.9996287540542782,0.9082887756599778,5e-05
7,0.0251875272226094,0.7931616679354138,0.9916226552540521,0.8283582089552238,0.9958982772764561,0.9134199134199135,0.9915600326708413,0.8361955085865258,0.9917491749174917,0.8095238095238095,0.9937244201909959,0.8731034482758621,0.9994071146836981,0.9007192132687508,2.5e-05
8,0.014270058849514714,0.6475534221033523,0.9950828628665088,0.8759328358208955,0.997815401419989,0.9193548387096774,0.9948271167982575,0.9035667107001321,0.9955995599559956,0.8095238095238095,0.996319018404908,0.9113924050632911,0.999896817887615,0.9098194627917218,2.5e-05
9,0.011503416075457028,0.7886974924092115,0.9965397923875432,0.8283582089552238,0.9989077007099946,0.9170305676855895,0.9959161448407297,0.8322324966974901,0.9977997799779978,0.819047619047619,0.9974096796182685,0.8725761772853186,0.9999445901573549,0.9079805414019415,2.5e-05
10,0.018258730163131173,0.6843297041867036,0.9941722819158623,0.8694029850746269,0.9980848153214774,0.9152086137281292,0.9931935747345494,0.8982826948480845,0.9961496149614961,0.8,0.9956331877729258,0.9066666666666666,0.9996193194053954,0.901021157031725,2.5e-05
11,0.015391680739933302,0.7916319504520967,0.9956292114368968,0.8582089552238806,0.9978171896316508,0.9115646258503401,0.9956438878301116,0.8850726552179656,0.9955995599559956,0.7936507936507936,0.9967293540474244,0.8981233243967829,0.9998294275384522,0.8818645027363654,1.25e-05
12,0.009177367847875519,0.7616815987488762,0.9970861409579311,0.8479477611940298,0.998636487592037,0.9113573407202216,0.9970051728832018,0.869220607661823,0.9972497249724972,0.7968253968253968,0.9978201634877384,0.889790398918188,0.9999791838699252,0.892474471074207,1.25e-05
13,0.007637221709455521,0.7731266166444055,0.9978146057184484,0.8451492537313433,0.9991818925552223,0.9132867132867133,0.9975496869044378,0.8626155878467635,0.9983498349834984,0.8031746031746032,0.9983651226158038,0.8872282608695652,0.9999841258288639,0.896022310289153,1.25e-05
14,0.006950739569759511,0.6895207472458532,0.998178838098707,0.871268656716418,0.9991823385118561,0.9165545087483177,0.9980942009256738,0.8996036988110965,0.9983498349834984,0.8031746031746032,0.9986379733042767,0.908,0.9999827780218806,0.9078924744710741,6.25e-06
15,0.007304926604107823,0.6584944124272747,0.9972682571480604,0.8684701492537313,0.9994538503549972,0.9150943396226415,0.9964606588619657,0.8969616908850726,0.9988998899889989,0.8,0.9979550102249489,0.9059372915276851,0.9999794833825881,0.9112474051707871,6.25e-06
