epoch,train_loss,train_accuracy,train_precision,train_recall,train_specificity,train_f1,train_roc_auc,val_loss,val_accuracy,val_precision,val_recall,val_specificity,val_f1,val_roc_auc,learning_rate
1,0.3001412849427572,0.8690584592970315,0.9561457689932057,0.8429077048734005,0.9218921892189219,0.8959629576038199,0.955603088215165,0.47328893629027835,0.8059701492537313,0.9090909090909091,0.8058124174372523,0.8063492063492064,0.8543417366946778,0.9047535174351555,0.0001
2,0.10394239126028064,0.9659442724458205,0.9830931263858093,0.965695616662129,0.9664466446644664,0.9743167147369867,0.993529927455038,0.5137537346506463,0.8152985074626866,0.9280245022970903,0.8005284015852048,0.8507936507936508,0.8595744680851064,0.927030257281248,0.0001
3,0.06147046998228679,0.980149335275906,0.9890230515916575,0.9812142662673564,0.977997799779978,0.985103184365177,0.9977744711579788,0.5702102839463059,0.8227611940298507,0.9175257731958762,0.8229854689564069,0.8222222222222222,0.8676880222841226,0.9132918160659244,0.0001
4,0.0503165637869052,0.9841558914587507,0.9920417124039517,0.9842090933841546,0.9840484048404841,0.988109881098811,0.9983025119827529,0.4611300711638169,0.851679104477612,0.9118457300275482,0.8745046235138706,0.7968253968253968,0.8927848954821308,0.9286951416409805,0.0001
5,0.04376384797708293,0.9872518666909488,0.9934264585045193,0.9874761775115709,0.9867986798679867,0.9904423812124522,0.998709998960691,0.5024822180827475,0.8442164179104478,0.9120111731843575,0.8626155878467635,0.8,0.8866259334691107,0.9276383384705711,0.0001
6,0.035257367410771165,0.9881624476415953,0.9947888096544159,0.9874761775115709,0.9895489548954896,0.9911190053285968,0.9989416720054799,0.6060136044684644,0.8488805970149254,0.912621359223301,0.869220607661823,0.8,0.8903924221921515,0.9221718982617265,0.0001
7,0.02932585870358293,0.9908941904935349,0.9964373801041381,0.9899264906071331,0.9928492849284929,0.993171264681781,0.9993919892942194,0.5206714847773216,0.8526119402985075,0.9188811188811189,0.8678996036988111,0.8158730158730159,0.8926630434782609,0.9264012077750519,5e-05
8,0.021522538117729258,0.9938080495356038,0.9961821652577039,0.9945548597876396,0.9922992299229924,0.9953678474114441,0.9997320859229947,0.5793169223465183,0.8414179104477612,0.9186875891583453,0.8507265521796565,0.819047619047619,0.8834019204389575,0.930942945209788,5e-05
9,0.018893864687292698,0.9945365142961209,0.9975416552854411,0.9942826027770215,0.995049504950495,0.9959094627761113,0.9997720708634981,0.5752914148180202,0.851679104477612,0.9259259259259259,0.8586525759577279,0.834920634920635,0.8910212474297464,0.9333459143234573,5e-05
10,0.016008796423410396,0.9961755600072847,0.9983624454148472,0.9959161448407297,0.9966996699669967,0.9971377947389941,0.9998264324118227,0.605715672131832,0.8544776119402985,0.9191073919107392,0.8705416116248349,0.8158730158730159,0.8941655359565808,0.9243400222264159,5e-05
11,0.01473690603186884,0.9952649790566381,0.998632759092152,0.9942826027770215,0.9972497249724972,0.9964529331514325,0.999850243668527,0.6267887651960228,0.8591417910447762,0.915068493150685,0.8824306472919419,0.8031746031746032,0.898453261600538,0.9254492461890084,5e-05
12,0.01296468130939565,0.9956292114368968,0.9975456776656667,0.9959161448407297,0.995049504950495,0.9967302452316076,0.9999210784133137,0.647007733604328,0.8535447761194029,0.914364640883978,0.8745046235138706,0.8031746031746032,0.8939905469277515,0.9293577404541737,5e-05
13,0.010645061760172016,0.9976324895283191,0.9989094874591058,0.9975496869044378,0.9977997799779978,0.9982291240975344,0.9999315613565168,0.7930303383583639,0.8218283582089553,0.9223880597014925,0.8163804491413474,0.834920634920635,0.8661527680448493,0.9291312826319431,5e-05
14,0.013497749960975712,0.9954470952467674,0.9978165938864629,0.9953716308194936,0.9955995599559956,0.9965926127845168,0.9998626734440391,0.68258482686058,0.8330223880597015,0.9128571428571428,0.8441215323645971,0.8063492063492064,0.8771448181194235,0.9294248390681681,2.5e-05
15,0.007958207826262897,0.9979967219085777,0.9980957562568009,0.9989109719575279,0.9961496149614961,0.9985031977139747,0.9999712467843571,0.7137120657290323,0.832089552238806,0.9163059163059163,0.8388375165125496,0.8158730158730159,0.8758620689655172,0.9285714285714286,2.5e-05
