Model,Threshold,Accuracy,Precision,Sensitivity,Specificity,F1-score,ROC-AUC
ResNet-18,0.5,0.759287,0.9681,0.698699,0.933718,0.811628,0.90726
ResNet-18,0.1,0.817236,0.936269,0.808809,0.841499,0.867884,0.90726
DenseNet-121,0.5,0.846211,0.937086,0.84985,0.835735,0.891339,0.920921
DenseNet-121,0.07,0.8789,0.895833,0.946947,0.682997,0.920681,0.920921
EfficientNet-B0,0.5,0.720654,0.967016,0.645646,0.936599,0.77431,0.891067
EfficientNet-B0,0.01,0.811293,0.898396,0.840841,0.726225,0.868666,0.891067
