threshold,accuracy,precision,sensitivity,specificity,f1_score,tn,fp,fn,tp
0.73,0.2800891530460624,0.875,0.035035035035035036,0.9855907780979827,0.06737247353224254,342,5,964,35
0.74,0.26671619613670133,0.7727272727272727,0.01701701701701702,0.9855907780979827,0.03330068560235064,342,5,982,17
0.75,0.2652303120356612,0.75,0.015015015015015015,0.9855907780979827,0.029440628066732092,342,5,984,15
0.76,0.26300148588410105,0.7692307692307693,0.01001001001001001,0.9913544668587896,0.019762845849802372,344,3,989,10
0.77,0.2600297176820208,0.7142857142857143,0.005005005005005005,0.9942363112391931,0.009940357852882704,345,2,994,5
0.78,0.2578008915304606,0.5,0.001001001001001001,0.9971181556195965,0.001998001998001998,346,1,998,1
0.79,0.25705794947994054,0.0,0.0,0.9971181556195965,0.0,346,1,999,0
0.8,0.2578008915304606,0.0,0.0,1.0,0.0,347,0,999,0
0.81,0.2578008915304606,0.0,0.0,1.0,0.0,347,0,999,0
0.8200000000000001,0.2578008915304606,0.0,0.0,1.0,0.0,347,0,999,0
0.8300000000000001,0.2578008915304606,0.0,0.0,1.0,0.0,347,0,999,0
0.84,0.2578008915304606,0.0,0.0,1.0,0.0,347,0,999,0
0.85,0.2578008915304606,0.0,0.0,1.0,0.0,347,0,999,0
0.86,0.2578008915304606,0.0,0.0,1.0,0.0,347,0,999,0
0.87,0.2578008915304606,0.0,0.0,1.0,0.0,347,0,999,0
0.88,0.2578008915304606,0.0,0.0,1.0,0.0,347,0,999,0
0.89,0.2578008915304606,0.0,0.0,1.0,0.0,347,0,999,0
0.9,0.2578008915304606,0.0,0.0,1.0,0.0,347,0,999,0
0.91,0.2578008915304606,0.0,0.0,1.0,0.0,347,0,999,0
0.92,0.2578008915304606,0.0,0.0,1.0,0.0,347,0,999,0
0.93,0.2578008915304606,0.0,0.0,1.0,0.0,347,0,999,0
0.9400000000000001,0.2578008915304606,0.0,0.0,1.0,0.0,347,0,999,0
0.9500000000000001,0.2578008915304606,0.0,0.0,1.0,0.0,347,0,999,0
0.96,0.2578008915304606,0.0,0.0,1.0,0.0,347,0,999,0
0.97,0.2578008915304606,0.0,0.0,1.0,0.0,347,0,999,0
0.98,0.2578008915304606,0.0,0.0,1.0,0.0,347,0,999,0
0.99,0.2578008915304606,0.0,0.0,1.0,0.0,347,0,999,0
