Model,Accuracy,Precision,Sensitivity,Specificity,F1-score,ROC-AUC
FedAvg DenseNet-121,0.7399702823179792,0.9298013245033112,0.7027027027027027,0.8472622478386167,0.8004561003420753,0.8757893340025905
FedProx DenseNet-121,0.7273402674591382,0.7569105691056911,0.931931931931932,0.138328530259366,0.835352175863616,0.6643300360879613
