FedProx_mu,Accuracy,Precision,Sensitivity,Specificity,F1-score,ROC-AUC
0.01,0.2934621099,0.98,0.049049049,0.9971181556,0.093422307,0.6409204594
0.001,0.5118870728,0.7267904509,0.5485485485,0.4063400576,0.625213919,0.4708656784
0.0001,0.7273402675,0.7569105691,0.9319319319,0.1383285303,0.8353521759,0.6643300361
